state,STATE,OCC_TITLE,A_MEAN
AL,Alabama,Accountants and Auditors,65960
AK,Alaska,Accountants and Auditors,78480
AZ,Arizona,Accountants and Auditors,64440
AR,Arkansas,Accountants and Auditors,62160
CA,California,Accountants and Auditors,78090
CO,Colorado,Accountants and Auditors,74020
CT,Connecticut,Accountants and Auditors,77020
DE,Delaware,Accountants and Auditors,74280
DC,District of Columbia,Accountants and Auditors,90220
FL,Florida,Accountants and Auditors,68060
GA,Georgia,Accountants and Auditors,76580
HI,Hawaii,Accountants and Auditors,59810
ID,Idaho,Accountants and Auditors,68070
IL,Illinois,Accountants and Auditors,73390
IN,Indiana,Accountants and Auditors,65890
IA,Iowa,Accountants and Auditors,62420
KS,Kansas,Accountants and Auditors,64590
KY,Kentucky,Accountants and Auditors,61970
LA,Louisiana,Accountants and Auditors,62990
ME,Maine,Accountants and Auditors,61530
MD,Maryland,Accountants and Auditors,80360
MA,Massachusetts,Accountants and Auditors,80030
MI,Michigan,Accountants and Auditors,68460
MN,Minnesota,Accountants and Auditors,68660
MS,Mississippi,Accountants and Auditors,56030
MO,Missouri,Accountants and Auditors,69160
MT,Montana,Accountants and Auditors,61100
NE,Nebraska,Accountants and Auditors,65820
NV,Nevada,Accountants and Auditors,63260
NH,New Hampshire,Accountants and Auditors,68250
NJ,New Jersey,Accountants and Auditors,84160
NM,New Mexico,Accountants and Auditors,61880
NY,New York,Accountants and Auditors,89850
NC,North Carolina,Accountants and Auditors,71200
ND,North Dakota,Accountants and Auditors,56230
OH,Ohio,Accountants and Auditors,68360
OK,Oklahoma,Accountants and Auditors,63720
OR,Oregon,Accountants and Auditors,65820
PA,Pennsylvania,Accountants and Auditors,70120
RI,Rhode Island,Accountants and Auditors,77180
SC,South Carolina,Accountants and Auditors,59240
SD,South Dakota,Accountants and Auditors,60000
TN,Tennessee,Accountants and Auditors,65630
TX,Texas,Accountants and Auditors,75210
UT,Utah,Accountants and Auditors,68780
VT,Vermont,Accountants and Auditors,70420
VA,Virginia,Accountants and Auditors,78640
WA,Washington,Accountants and Auditors,72950
WV,West Virginia,Accountants and Auditors,59520
WI,Wisconsin,Accountants and Auditors,67100
WY,Wyoming,Accountants and Auditors,64730
GU,Guam,Accountants and Auditors,39980
PR,Puerto Rico,Accountants and Auditors,36560
VI,Virgin Islands,Accountants and Auditors,46610
CA,California,Actors,0
CO,Colorado,Actors,0
CT,Connecticut,Actors,0
DC,District of Columbia,Actors,0
FL,Florida,Actors,0
GA,Georgia,Actors,0
IL,Illinois,Actors,0
IN,Indiana,Actors,0
IA,Iowa,Actors,0
KY,Kentucky,Actors,0
LA,Louisiana,Actors,0
MD,Maryland,Actors,0
MA,Massachusetts,Actors,0
MI,Michigan,Actors,0
MN,Minnesota,Actors,0
MO,Missouri,Actors,0
NV,Nevada,Actors,0
NJ,New Jersey,Actors,0
NM,New Mexico,Actors,0
NY,New York,Actors,0
NC,North Carolina,Actors,0
OH,Ohio,Actors,0
OK,Oklahoma,Actors,0
OR,Oregon,Actors,0
PA,Pennsylvania,Actors,0
SC,South Carolina,Actors,0
TN,Tennessee,Actors,0
VA,Virginia,Actors,0
WA,Washington,Actors,0
WI,Wisconsin,Actors,0
AL,Alabama,Actuaries,89820
AZ,Arizona,Actuaries,103460
CA,California,Actuaries,111000
CO,Colorado,Actuaries,0
CT,Connecticut,Actuaries,115880
DC,District of Columbia,Actuaries,113360
FL,Florida,Actuaries,93580
GA,Georgia,Actuaries,83540
ID,Idaho,Actuaries,108570
IL,Illinois,Actuaries,99460
IN,Indiana,Actuaries,93320
IA,Iowa,Actuaries,94520
KS,Kansas,Actuaries,138210
LA,Louisiana,Actuaries,111230
ME,Maine,Actuaries,0
MD,Maryland,Actuaries,0
MA,Massachusetts,Actuaries,108130
MI,Michigan,Actuaries,97900
MN,Minnesota,Actuaries,96040
MO,Missouri,Actuaries,101870
NE,Nebraska,Actuaries,94770
NH,New Hampshire,Actuaries,102930
NJ,New Jersey,Actuaries,107320
NM,New Mexico,Actuaries,90030
NY,New York,Actuaries,135620
NC,North Carolina,Actuaries,98840
ND,North Dakota,Actuaries,110370
OH,Ohio,Actuaries,99320
OK,Oklahoma,Actuaries,90010
OR,Oregon,Actuaries,83560
PA,Pennsylvania,Actuaries,110880
RI,Rhode Island,Actuaries,84040
SC,South Carolina,Actuaries,0
TN,Tennessee,Actuaries,0
TX,Texas,Actuaries,110290
UT,Utah,Actuaries,68790
VT,Vermont,Actuaries,111600
VA,Virginia,Actuaries,0
WA,Washington,Actuaries,98550
WI,Wisconsin,Actuaries,107990
AL,Alabama,Adhesive Bonding Machine Operators and Tenders,36080
AZ,Arizona,Adhesive Bonding Machine Operators and Tenders,30190
AR,Arkansas,Adhesive Bonding Machine Operators and Tenders,29650
CA,California,Adhesive Bonding Machine Operators and Tenders,30930
CO,Colorado,Adhesive Bonding Machine Operators and Tenders,26910
CT,Connecticut,Adhesive Bonding Machine Operators and Tenders,36880
DE,Delaware,Adhesive Bonding Machine Operators and Tenders,27970
FL,Florida,Adhesive Bonding Machine Operators and Tenders,29790
GA,Georgia,Adhesive Bonding Machine Operators and Tenders,30640
ID,Idaho,Adhesive Bonding Machine Operators and Tenders,34360
IL,Illinois,Adhesive Bonding Machine Operators and Tenders,36390
IN,Indiana,Adhesive Bonding Machine Operators and Tenders,31150
IA,Iowa,Adhesive Bonding Machine Operators and Tenders,33580
KS,Kansas,Adhesive Bonding Machine Operators and Tenders,28300
KY,Kentucky,Adhesive Bonding Machine Operators and Tenders,32370
LA,Louisiana,Adhesive Bonding Machine Operators and Tenders,34980
ME,Maine,Adhesive Bonding Machine Operators and Tenders,27770
MD,Maryland,Adhesive Bonding Machine Operators and Tenders,35320
MA,Massachusetts,Adhesive Bonding Machine Operators and Tenders,33390
MI,Michigan,Adhesive Bonding Machine Operators and Tenders,29800
MN,Minnesota,Adhesive Bonding Machine Operators and Tenders,32500
MS,Mississippi,Adhesive Bonding Machine Operators and Tenders,26360
MO,Missouri,Adhesive Bonding Machine Operators and Tenders,29410
MT,Montana,Adhesive Bonding Machine Operators and Tenders,41260
NJ,New Jersey,Adhesive Bonding Machine Operators and Tenders,33460
NY,New York,Adhesive Bonding Machine Operators and Tenders,31420
NC,North Carolina,Adhesive Bonding Machine Operators and Tenders,28820
OH,Ohio,Adhesive Bonding Machine Operators and Tenders,34260
OK,Oklahoma,Adhesive Bonding Machine Operators and Tenders,27260
OR,Oregon,Adhesive Bonding Machine Operators and Tenders,37470
PA,Pennsylvania,Adhesive Bonding Machine Operators and Tenders,34490
RI,Rhode Island,Adhesive Bonding Machine Operators and Tenders,34250
SC,South Carolina,Adhesive Bonding Machine Operators and Tenders,31070
SD,South Dakota,Adhesive Bonding Machine Operators and Tenders,29020
TN,Tennessee,Adhesive Bonding Machine Operators and Tenders,31210
TX,Texas,Adhesive Bonding Machine Operators and Tenders,42280
VT,Vermont,Adhesive Bonding Machine Operators and Tenders,24190
VA,Virginia,Adhesive Bonding Machine Operators and Tenders,34470
WA,Washington,Adhesive Bonding Machine Operators and Tenders,46090
WV,West Virginia,Adhesive Bonding Machine Operators and Tenders,26250
WI,Wisconsin,Adhesive Bonding Machine Operators and Tenders,33770
PR,Puerto Rico,Adhesive Bonding Machine Operators and Tenders,21170
AL,Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",121110
AZ,Arizona,"Administrative Law Judges, Adjudicators, and Hearing Officers",93380
AR,Arkansas,"Administrative Law Judges, Adjudicators, and Hearing Officers",65760
CA,California,"Administrative Law Judges, Adjudicators, and Hearing Officers",107900
CO,Colorado,"Administrative Law Judges, Adjudicators, and Hearing Officers",109530
CT,Connecticut,"Administrative Law Judges, Adjudicators, and Hearing Officers",92790
DE,Delaware,"Administrative Law Judges, Adjudicators, and Hearing Officers",63840
FL,Florida,"Administrative Law Judges, Adjudicators, and Hearing Officers",92300
GA,Georgia,"Administrative Law Judges, Adjudicators, and Hearing Officers",68090
HI,Hawaii,"Administrative Law Judges, Adjudicators, and Hearing Officers",81160
ID,Idaho,"Administrative Law Judges, Adjudicators, and Hearing Officers",74620
IL,Illinois,"Administrative Law Judges, Adjudicators, and Hearing Officers",91530
IN,Indiana,"Administrative Law Judges, Adjudicators, and Hearing Officers",106440
IA,Iowa,"Administrative Law Judges, Adjudicators, and Hearing Officers",103140
KS,Kansas,"Administrative Law Judges, Adjudicators, and Hearing Officers",111610
KY,Kentucky,"Administrative Law Judges, Adjudicators, and Hearing Officers",52650
LA,Louisiana,"Administrative Law Judges, Adjudicators, and Hearing Officers",67770
ME,Maine,"Administrative Law Judges, Adjudicators, and Hearing Officers",62600
MD,Maryland,"Administrative Law Judges, Adjudicators, and Hearing Officers",93250
MA,Massachusetts,"Administrative Law Judges, Adjudicators, and Hearing Officers",131190
MI,Michigan,"Administrative Law Judges, Adjudicators, and Hearing Officers",105400
MN,Minnesota,"Administrative Law Judges, Adjudicators, and Hearing Officers",104780
MS,Mississippi,"Administrative Law Judges, Adjudicators, and Hearing Officers",88670
MO,Missouri,"Administrative Law Judges, Adjudicators, and Hearing Officers",107100
MT,Montana,"Administrative Law Judges, Adjudicators, and Hearing Officers",64360
NV,Nevada,"Administrative Law Judges, Adjudicators, and Hearing Officers",67710
NH,New Hampshire,"Administrative Law Judges, Adjudicators, and Hearing Officers",66360
NJ,New Jersey,"Administrative Law Judges, Adjudicators, and Hearing Officers",108140
NM,New Mexico,"Administrative Law Judges, Adjudicators, and Hearing Officers",62750
NY,New York,"Administrative Law Judges, Adjudicators, and Hearing Officers",91820
NC,North Carolina,"Administrative Law Judges, Adjudicators, and Hearing Officers",88710
OH,Ohio,"Administrative Law Judges, Adjudicators, and Hearing Officers",93070
OK,Oklahoma,"Administrative Law Judges, Adjudicators, and Hearing Officers",91030
OR,Oregon,"Administrative Law Judges, Adjudicators, and Hearing Officers",69060
PA,Pennsylvania,"Administrative Law Judges, Adjudicators, and Hearing Officers",90140
RI,Rhode Island,"Administrative Law Judges, Adjudicators, and Hearing Officers",103020
SC,South Carolina,"Administrative Law Judges, Adjudicators, and Hearing Officers",85460
TN,Tennessee,"Administrative Law Judges, Adjudicators, and Hearing Officers",90040
TX,Texas,"Administrative Law Judges, Adjudicators, and Hearing Officers",92790
UT,Utah,"Administrative Law Judges, Adjudicators, and Hearing Officers",71680
VT,Vermont,"Administrative Law Judges, Adjudicators, and Hearing Officers",69200
VA,Virginia,"Administrative Law Judges, Adjudicators, and Hearing Officers",91230
WA,Washington,"Administrative Law Judges, Adjudicators, and Hearing Officers",91530
WV,West Virginia,"Administrative Law Judges, Adjudicators, and Hearing Officers",98180
WI,Wisconsin,"Administrative Law Judges, Adjudicators, and Hearing Officers",114180
PR,Puerto Rico,"Administrative Law Judges, Adjudicators, and Hearing Officers",83580
AL,Alabama,Administrative Services Managers,101200
AK,Alaska,Administrative Services Managers,90310
AZ,Arizona,Administrative Services Managers,85730
AR,Arkansas,Administrative Services Managers,75840
CA,California,Administrative Services Managers,97990
CO,Colorado,Administrative Services Managers,98620
CT,Connecticut,Administrative Services Managers,101630
DE,Delaware,Administrative Services Managers,104020
DC,District of Columbia,Administrative Services Managers,104280
FL,Florida,Administrative Services Managers,103630
GA,Georgia,Administrative Services Managers,92060
HI,Hawaii,Administrative Services Managers,67070
ID,Idaho,Administrative Services Managers,77750
IL,Illinois,Administrative Services Managers,75980
IN,Indiana,Administrative Services Managers,77140
IA,Iowa,Administrative Services Managers,74210
KS,Kansas,Administrative Services Managers,81490
KY,Kentucky,Administrative Services Managers,71220
LA,Louisiana,Administrative Services Managers,74880
ME,Maine,Administrative Services Managers,72740
MD,Maryland,Administrative Services Managers,102840
MA,Massachusetts,Administrative Services Managers,98120
MI,Michigan,Administrative Services Managers,79160
MN,Minnesota,Administrative Services Managers,85710
MS,Mississippi,Administrative Services Managers,62290
MO,Missouri,Administrative Services Managers,81010
MT,Montana,Administrative Services Managers,71150
NE,Nebraska,Administrative Services Managers,85510
NV,Nevada,Administrative Services Managers,80990
NH,New Hampshire,Administrative Services Managers,85000
NJ,New Jersey,Administrative Services Managers,117140
NM,New Mexico,Administrative Services Managers,79270
NY,New York,Administrative Services Managers,117850
NC,North Carolina,Administrative Services Managers,95370
ND,North Dakota,Administrative Services Managers,82070
OH,Ohio,Administrative Services Managers,81890
OK,Oklahoma,Administrative Services Managers,70730
OR,Oregon,Administrative Services Managers,77910
PA,Pennsylvania,Administrative Services Managers,101060
RI,Rhode Island,Administrative Services Managers,101850
SC,South Carolina,Administrative Services Managers,78350
SD,South Dakota,Administrative Services Managers,78680
TN,Tennessee,Administrative Services Managers,74410
TX,Texas,Administrative Services Managers,97900
UT,Utah,Administrative Services Managers,78240
VT,Vermont,Administrative Services Managers,86850
VA,Virginia,Administrative Services Managers,94780
WA,Washington,Administrative Services Managers,94220
WV,West Virginia,Administrative Services Managers,68320
WI,Wisconsin,Administrative Services Managers,91080
WY,Wyoming,Administrative Services Managers,78310
GU,Guam,Administrative Services Managers,50710
PR,Puerto Rico,Administrative Services Managers,55000
VI,Virgin Islands,Administrative Services Managers,62330
AL,Alabama,Adult Basic and Secondary Education and Literacy Teachers and Instructors,40440
AK,Alaska,Adult Basic and Secondary Education and Literacy Teachers and Instructors,44600
AZ,Arizona,Adult Basic and Secondary Education and Literacy Teachers and Instructors,50430
AR,Arkansas,Adult Basic and Secondary Education and Literacy Teachers and Instructors,42910
CA,California,Adult Basic and Secondary Education and Literacy Teachers and Instructors,63270
CO,Colorado,Adult Basic and Secondary Education and Literacy Teachers and Instructors,39710
CT,Connecticut,Adult Basic and Secondary Education and Literacy Teachers and Instructors,58940
DE,Delaware,Adult Basic and Secondary Education and Literacy Teachers and Instructors,60840
DC,District of Columbia,Adult Basic and Secondary Education and Literacy Teachers and Instructors,53950
FL,Florida,Adult Basic and Secondary Education and Literacy Teachers and Instructors,47990
GA,Georgia,Adult Basic and Secondary Education and Literacy Teachers and Instructors,37000
HI,Hawaii,Adult Basic and Secondary Education and Literacy Teachers and Instructors,43330
ID,Idaho,Adult Basic and Secondary Education and Literacy Teachers and Instructors,38680
IL,Illinois,Adult Basic and Secondary Education and Literacy Teachers and Instructors,59010
IN,Indiana,Adult Basic and Secondary Education and Literacy Teachers and Instructors,43470
IA,Iowa,Adult Basic and Secondary Education and Literacy Teachers and Instructors,42350
KS,Kansas,Adult Basic and Secondary Education and Literacy Teachers and Instructors,38620
KY,Kentucky,Adult Basic and Secondary Education and Literacy Teachers and Instructors,40550
LA,Louisiana,Adult Basic and Secondary Education and Literacy Teachers and Instructors,41840
ME,Maine,Adult Basic and Secondary Education and Literacy Teachers and Instructors,38460
MD,Maryland,Adult Basic and Secondary Education and Literacy Teachers and Instructors,58110
MA,Massachusetts,Adult Basic and Secondary Education and Literacy Teachers and Instructors,57650
MI,Michigan,Adult Basic and Secondary Education and Literacy Teachers and Instructors,50540
MN,Minnesota,Adult Basic and Secondary Education and Literacy Teachers and Instructors,48650
MS,Mississippi,Adult Basic and Secondary Education and Literacy Teachers and Instructors,31620
MO,Missouri,Adult Basic and Secondary Education and Literacy Teachers and Instructors,46600
MT,Montana,Adult Basic and Secondary Education and Literacy Teachers and Instructors,47750
NE,Nebraska,Adult Basic and Secondary Education and Literacy Teachers and Instructors,44180
NV,Nevada,Adult Basic and Secondary Education and Literacy Teachers and Instructors,48450
NH,New Hampshire,Adult Basic and Secondary Education and Literacy Teachers and Instructors,54250
NJ,New Jersey,Adult Basic and Secondary Education and Literacy Teachers and Instructors,59400
NM,New Mexico,Adult Basic and Secondary Education and Literacy Teachers and Instructors,39250
NY,New York,Adult Basic and Secondary Education and Literacy Teachers and Instructors,63180
NC,North Carolina,Adult Basic and Secondary Education and Literacy Teachers and Instructors,44270
ND,North Dakota,Adult Basic and Secondary Education and Literacy Teachers and Instructors,61070
OH,Ohio,Adult Basic and Secondary Education and Literacy Teachers and Instructors,48010
OK,Oklahoma,Adult Basic and Secondary Education and Literacy Teachers and Instructors,45540
OR,Oregon,Adult Basic and Secondary Education and Literacy Teachers and Instructors,54600
PA,Pennsylvania,Adult Basic and Secondary Education and Literacy Teachers and Instructors,49990
RI,Rhode Island,Adult Basic and Secondary Education and Literacy Teachers and Instructors,53750
SC,South Carolina,Adult Basic and Secondary Education and Literacy Teachers and Instructors,49270
SD,South Dakota,Adult Basic and Secondary Education and Literacy Teachers and Instructors,31170
TN,Tennessee,Adult Basic and Secondary Education and Literacy Teachers and Instructors,47570
TX,Texas,Adult Basic and Secondary Education and Literacy Teachers and Instructors,49290
UT,Utah,Adult Basic and Secondary Education and Literacy Teachers and Instructors,43140
VT,Vermont,Adult Basic and Secondary Education and Literacy Teachers and Instructors,53710
VA,Virginia,Adult Basic and Secondary Education and Literacy Teachers and Instructors,58130
WA,Washington,Adult Basic and Secondary Education and Literacy Teachers and Instructors,54890
WV,West Virginia,Adult Basic and Secondary Education and Literacy Teachers and Instructors,62030
WI,Wisconsin,Adult Basic and Secondary Education and Literacy Teachers and Instructors,49060
WY,Wyoming,Adult Basic and Secondary Education and Literacy Teachers and Instructors,49670
PR,Puerto Rico,Adult Basic and Secondary Education and Literacy Teachers and Instructors,33330
AL,Alabama,Advertising and Promotions Managers,93350
AK,Alaska,Advertising and Promotions Managers,77490
AZ,Arizona,Advertising and Promotions Managers,84630
AR,Arkansas,Advertising and Promotions Managers,100770
CA,California,Advertising and Promotions Managers,115410
CO,Colorado,Advertising and Promotions Managers,131860
CT,Connecticut,Advertising and Promotions Managers,123750
DE,Delaware,Advertising and Promotions Managers,146040
DC,District of Columbia,Advertising and Promotions Managers,105610
FL,Florida,Advertising and Promotions Managers,112700
GA,Georgia,Advertising and Promotions Managers,91530
HI,Hawaii,Advertising and Promotions Managers,79550
ID,Idaho,Advertising and Promotions Managers,57890
IL,Illinois,Advertising and Promotions Managers,116430
IN,Indiana,Advertising and Promotions Managers,78130
IA,Iowa,Advertising and Promotions Managers,78540
KS,Kansas,Advertising and Promotions Managers,78490
KY,Kentucky,Advertising and Promotions Managers,73400
LA,Louisiana,Advertising and Promotions Managers,65550
ME,Maine,Advertising and Promotions Managers,81770
MD,Maryland,Advertising and Promotions Managers,115590
MA,Massachusetts,Advertising and Promotions Managers,120920
MI,Michigan,Advertising and Promotions Managers,113340
MN,Minnesota,Advertising and Promotions Managers,108750
MS,Mississippi,Advertising and Promotions Managers,59720
MO,Missouri,Advertising and Promotions Managers,99320
MT,Montana,Advertising and Promotions Managers,68800
NE,Nebraska,Advertising and Promotions Managers,85540
NV,Nevada,Advertising and Promotions Managers,85710
NH,New Hampshire,Advertising and Promotions Managers,88980
NJ,New Jersey,Advertising and Promotions Managers,135680
NM,New Mexico,Advertising and Promotions Managers,72460
NY,New York,Advertising and Promotions Managers,172720
NC,North Carolina,Advertising and Promotions Managers,105910
ND,North Dakota,Advertising and Promotions Managers,83290
OH,Ohio,Advertising and Promotions Managers,99240
OK,Oklahoma,Advertising and Promotions Managers,66030
OR,Oregon,Advertising and Promotions Managers,76110
PA,Pennsylvania,Advertising and Promotions Managers,144420
RI,Rhode Island,Advertising and Promotions Managers,92340
SC,South Carolina,Advertising and Promotions Managers,88300
TN,Tennessee,Advertising and Promotions Managers,80560
TX,Texas,Advertising and Promotions Managers,100050
UT,Utah,Advertising and Promotions Managers,82230
VT,Vermont,Advertising and Promotions Managers,102460
VA,Virginia,Advertising and Promotions Managers,114210
WA,Washington,Advertising and Promotions Managers,114430
WV,West Virginia,Advertising and Promotions Managers,66500
WI,Wisconsin,Advertising and Promotions Managers,94200
GU,Guam,Advertising and Promotions Managers,57310
PR,Puerto Rico,Advertising and Promotions Managers,66190
AL,Alabama,Advertising Sales Agents,43760
AK,Alaska,Advertising Sales Agents,49710
AZ,Arizona,Advertising Sales Agents,53680
AR,Arkansas,Advertising Sales Agents,46470
CA,California,Advertising Sales Agents,71950
CO,Colorado,Advertising Sales Agents,69320
CT,Connecticut,Advertising Sales Agents,60380
DE,Delaware,Advertising Sales Agents,48970
DC,District of Columbia,Advertising Sales Agents,59410
FL,Florida,Advertising Sales Agents,52260
GA,Georgia,Advertising Sales Agents,72320
HI,Hawaii,Advertising Sales Agents,52010
ID,Idaho,Advertising Sales Agents,38390
IL,Illinois,Advertising Sales Agents,59460
IN,Indiana,Advertising Sales Agents,50430
IA,Iowa,Advertising Sales Agents,48650
KS,Kansas,Advertising Sales Agents,52080
KY,Kentucky,Advertising Sales Agents,43650
LA,Louisiana,Advertising Sales Agents,38530
ME,Maine,Advertising Sales Agents,44100
MD,Maryland,Advertising Sales Agents,61650
MA,Massachusetts,Advertising Sales Agents,69710
MI,Michigan,Advertising Sales Agents,53320
MN,Minnesota,Advertising Sales Agents,57840
MS,Mississippi,Advertising Sales Agents,39320
MO,Missouri,Advertising Sales Agents,43740
MT,Montana,Advertising Sales Agents,38400
NE,Nebraska,Advertising Sales Agents,49030
NV,Nevada,Advertising Sales Agents,60480
NH,New Hampshire,Advertising Sales Agents,63660
NJ,New Jersey,Advertising Sales Agents,63900
NM,New Mexico,Advertising Sales Agents,40800
NY,New York,Advertising Sales Agents,83430
NC,North Carolina,Advertising Sales Agents,52020
ND,North Dakota,Advertising Sales Agents,44060
OH,Ohio,Advertising Sales Agents,45410
OK,Oklahoma,Advertising Sales Agents,48960
OR,Oregon,Advertising Sales Agents,51520
PA,Pennsylvania,Advertising Sales Agents,57770
RI,Rhode Island,Advertising Sales Agents,46050
SC,South Carolina,Advertising Sales Agents,41570
SD,South Dakota,Advertising Sales Agents,46300
TN,Tennessee,Advertising Sales Agents,39130
TX,Texas,Advertising Sales Agents,53530
UT,Utah,Advertising Sales Agents,59280
VT,Vermont,Advertising Sales Agents,52760
VA,Virginia,Advertising Sales Agents,58910
WA,Washington,Advertising Sales Agents,52300
WV,West Virginia,Advertising Sales Agents,33280
WI,Wisconsin,Advertising Sales Agents,47920
WY,Wyoming,Advertising Sales Agents,35890
GU,Guam,Advertising Sales Agents,27550
PR,Puerto Rico,Advertising Sales Agents,37710
AL,Alabama,Aerospace Engineering and Operations Technicians,58790
AZ,Arizona,Aerospace Engineering and Operations Technicians,50570
CA,California,Aerospace Engineering and Operations Technicians,71390
CO,Colorado,Aerospace Engineering and Operations Technicians,74160
CT,Connecticut,Aerospace Engineering and Operations Technicians,73680
DC,District of Columbia,Aerospace Engineering and Operations Technicians,62850
FL,Florida,Aerospace Engineering and Operations Technicians,58690
GA,Georgia,Aerospace Engineering and Operations Technicians,66240
IL,Illinois,Aerospace Engineering and Operations Technicians,51690
IA,Iowa,Aerospace Engineering and Operations Technicians,60190
KS,Kansas,Aerospace Engineering and Operations Technicians,70770
KY,Kentucky,Aerospace Engineering and Operations Technicians,66720
LA,Louisiana,Aerospace Engineering and Operations Technicians,68780
MD,Maryland,Aerospace Engineering and Operations Technicians,63100
MI,Michigan,Aerospace Engineering and Operations Technicians,63210
MN,Minnesota,Aerospace Engineering and Operations Technicians,59490
NJ,New Jersey,Aerospace Engineering and Operations Technicians,58540
NM,New Mexico,Aerospace Engineering and Operations Technicians,62040
NC,North Carolina,Aerospace Engineering and Operations Technicians,61840
ND,North Dakota,Aerospace Engineering and Operations Technicians,57900
OH,Ohio,Aerospace Engineering and Operations Technicians,66420
OR,Oregon,Aerospace Engineering and Operations Technicians,61700
PA,Pennsylvania,Aerospace Engineering and Operations Technicians,51270
TN,Tennessee,Aerospace Engineering and Operations Technicians,0
TX,Texas,Aerospace Engineering and Operations Technicians,61260
UT,Utah,Aerospace Engineering and Operations Technicians,66600
VA,Virginia,Aerospace Engineering and Operations Technicians,59410
AL,Alabama,Aerospace Engineers,106240
AK,Alaska,Aerospace Engineers,87510
AZ,Arizona,Aerospace Engineers,85550
CA,California,Aerospace Engineers,112810
CO,Colorado,Aerospace Engineers,123010
CT,Connecticut,Aerospace Engineers,100900
DE,Delaware,Aerospace Engineers,95390
DC,District of Columbia,Aerospace Engineers,123770
FL,Florida,Aerospace Engineers,97860
GA,Georgia,Aerospace Engineers,104840
IL,Illinois,Aerospace Engineers,101170
IN,Indiana,Aerospace Engineers,82570
IA,Iowa,Aerospace Engineers,105660
KS,Kansas,Aerospace Engineers,99280
KY,Kentucky,Aerospace Engineers,99680
LA,Louisiana,Aerospace Engineers,99150
MD,Maryland,Aerospace Engineers,120460
MA,Massachusetts,Aerospace Engineers,109830
MI,Michigan,Aerospace Engineers,91550
MN,Minnesota,Aerospace Engineers,98930
MS,Mississippi,Aerospace Engineers,94670
NE,Nebraska,Aerospace Engineers,92080
NV,Nevada,Aerospace Engineers,83980
NH,New Hampshire,Aerospace Engineers,93940
NJ,New Jersey,Aerospace Engineers,112800
NM,New Mexico,Aerospace Engineers,94870
NY,New York,Aerospace Engineers,110420
NC,North Carolina,Aerospace Engineers,92200
OH,Ohio,Aerospace Engineers,100380
OK,Oklahoma,Aerospace Engineers,91890
OR,Oregon,Aerospace Engineers,90580
PA,Pennsylvania,Aerospace Engineers,98940
SC,South Carolina,Aerospace Engineers,91140
TN,Tennessee,Aerospace Engineers,87950
TX,Texas,Aerospace Engineers,109170
UT,Utah,Aerospace Engineers,76230
VA,Virginia,Aerospace Engineers,126320
WA,Washington,Aerospace Engineers,108850
WI,Wisconsin,Aerospace Engineers,105070
AL,Alabama,"Agents and Business Managers of Artists, Performers, and Athletes",63320
AZ,Arizona,"Agents and Business Managers of Artists, Performers, and Athletes",0
CA,California,"Agents and Business Managers of Artists, Performers, and Athletes",126330
CO,Colorado,"Agents and Business Managers of Artists, Performers, and Athletes",76420
CT,Connecticut,"Agents and Business Managers of Artists, Performers, and Athletes",92480
FL,Florida,"Agents and Business Managers of Artists, Performers, and Athletes",50840
GA,Georgia,"Agents and Business Managers of Artists, Performers, and Athletes",46070
IL,Illinois,"Agents and Business Managers of Artists, Performers, and Athletes",71870
IN,Indiana,"Agents and Business Managers of Artists, Performers, and Athletes",81820
KS,Kansas,"Agents and Business Managers of Artists, Performers, and Athletes",61320
LA,Louisiana,"Agents and Business Managers of Artists, Performers, and Athletes",59200
MD,Maryland,"Agents and Business Managers of Artists, Performers, and Athletes",56090
MA,Massachusetts,"Agents and Business Managers of Artists, Performers, and Athletes",106060
MI,Michigan,"Agents and Business Managers of Artists, Performers, and Athletes",61320
MN,Minnesota,"Agents and Business Managers of Artists, Performers, and Athletes",0
MO,Missouri,"Agents and Business Managers of Artists, Performers, and Athletes",77680
MT,Montana,"Agents and Business Managers of Artists, Performers, and Athletes",0
NV,Nevada,"Agents and Business Managers of Artists, Performers, and Athletes",113260
NJ,New Jersey,"Agents and Business Managers of Artists, Performers, and Athletes",80300
NM,New Mexico,"Agents and Business Managers of Artists, Performers, and Athletes",64180
NY,New York,"Agents and Business Managers of Artists, Performers, and Athletes",105450
NC,North Carolina,"Agents and Business Managers of Artists, Performers, and Athletes",72240
OH,Ohio,"Agents and Business Managers of Artists, Performers, and Athletes",74020
OK,Oklahoma,"Agents and Business Managers of Artists, Performers, and Athletes",40710
OR,Oregon,"Agents and Business Managers of Artists, Performers, and Athletes",56200
PA,Pennsylvania,"Agents and Business Managers of Artists, Performers, and Athletes",69180
SC,South Carolina,"Agents and Business Managers of Artists, Performers, and Athletes",40130
TN,Tennessee,"Agents and Business Managers of Artists, Performers, and Athletes",69680
TX,Texas,"Agents and Business Managers of Artists, Performers, and Athletes",72180
UT,Utah,"Agents and Business Managers of Artists, Performers, and Athletes",43640
VT,Vermont,"Agents and Business Managers of Artists, Performers, and Athletes",52370
VA,Virginia,"Agents and Business Managers of Artists, Performers, and Athletes",92130
WA,Washington,"Agents and Business Managers of Artists, Performers, and Athletes",36540
WI,Wisconsin,"Agents and Business Managers of Artists, Performers, and Athletes",0
AL,Alabama,Agricultural and Food Science Technicians,43670
